Opportunity Line Name,Opportunity Line ID,Opportunity Line Parent,Line Number,Product Line Name,Product ID,Amount,Total Amount,Quantity,Owner ID,Account,Service Date,Planning Measure
LockDown Individual - Liberty Mutual -  Opp C012,Liberty Mutual Opp C012 - UPG,Opp1113,0,LockDown Individual,Services,150000,150000,938,"Frazier, Tom",85201,1/30/2025,Expansions
FastSnap Individual - Liberty Mutual -  Opp D012,Liberty Mutual Opp D012 - MTC,Opp1114,0,FastSnap Individual,Cloud,112500,112500,140,"Frazier, Tom",85201,6/25/2002,New Business
SlimLite Tablet 10 - Liberty Mutual -  Opp A013,Liberty Mutual Opp A013 - HP 2.5,Opp1115,10,SlimLite Tablet 10,Networking,97500,97500,10,"Frazier, Tom",85201,9/25/2001,New Business
SlimLite Tablet 11 - Liberty Mutual -  Opp B013,Liberty Mutual Opp B013 - HP 4.5,Opp1116,11,SlimLite Tablet 11,Networking,108750,108750,11,"Frazier, Tom",85201,2/25/2001,New Business
FastSnap Individual - Rite Aid -  Opp D1200,Rite Aid Opp D1200 - MTC,OppD1200,0,FastSnap Individual,Cloud,94783.31782,94783.31782,150,"Frazier, Tom",11897,4/19/2025,Expansions
FastOffice Scanner D2200 - Rite Aid -  Opp D1200,Rite Aid Opp D1200 - SOLAR M,OppD1200,2200,FastOffice Scanner D2200,Servers,329216.6822,329216.6822,2200,"Frazier, Tom",11897,4/19/2025,Expansions
SlimLite Tablet 10x - Rite Aid -  Opp D1201,Rite Aid Opp D1201 - HP 3.5,OppD1201,10,SlimLite Tablet 10x,Networking,600000,600000,10,"Frazier, Tom",11897,4/29/2025,Expansions
SlimLite Tablet 9 - Rite Aid -  Opp D1202,Rite Aid Opp D1202 - HP Att,OppD1202,9,SlimLite Tablet 9,Networking,171354.2339,171354.2339,9,"Frazier, Tom",11897,2/25/2004,New Business
FastSnap Individual - Rite Aid -  Opp D1202,Rite Aid Opp D1202 - MTC,OppD1202,0,FastSnap Individual,Cloud,36852.66684,36852.66684,110,"Frazier, Tom",11897,2/25/2004,New Business
SlimLite Tablet 11 - Rite Aid -  Opp D1202,Rite Aid Opp D1202 - HP 4.5,OppD1202,11,SlimLite Tablet 11,Networking,15793.09923,15793.09923,11,"Frazier, Tom",11897,2/25/2004,New Business
LockDown Individual - Comcast -  Opp D1203,Comcast Opp D1203 - UPG,OppD1203,0,LockDown Individual,Services,300000,300000,1875,"Frazier, Tom",34932,4/23/2025,Expansions
LockDown Individual - Comcast -  Opp D1204,Comcast Opp D1204 - UPG,OppD1204,0,LockDown Individual,Services,311000,311000,1944,"Frazier, Tom",34932,6/13/2025,Expansions
FastOffice Scanner D2400 - Rite Aid -  Opp E1,Rite Aid Opp E1 - SOLAR H,OppE1,2400,FastOffice Scanner D2400,Servers,244000,244000,2400,"Frazier, Tom",11897,12/25/2004,New Business
SlimLite Tablet 10x - Rite Aid -  Opp E2,Rite Aid Opp E2 - HP 3.5,OppE2,10,SlimLite Tablet 10x,Networking,273000,273000,10,"Frazier, Tom",11897,9/25/2005,Expansions
CloudLite Server Pro 9100 - Biogen Idec -  Opp E3,Biogen Idec Opp E3 - SP 5.6,OppE3,9100,CloudLite Server Pro 9100,Storage,148000,148000,9100,"Frazier, Tom",18153,11/28/2025,Expansions
SlimLite Tablet 11 - Biogen Idec -  Opp E4,Biogen Idec Opp E4 - HP 4.5,OppE4,11,SlimLite Tablet 11,Networking,84000,84000,11,"Frazier, Tom",18153,5/13/2025,New Business
CloudLite Server Pro 8200 - Biogen Idec -  Opp E5,Biogen Idec Opp E5 - SP Att,OppE5,8200,CloudLite Server Pro 8200,Storage,95000,95000,8200,"Frazier, Tom",18153,12/13/2025,New Business
SlimLite Tablet 11 - Biogen Idec -  Opp E6,Biogen Idec Opp E6 - HP 4.5,OppE6,11,SlimLite Tablet 11,Networking,600000,600000,11,"Frazier, Tom",18153,12/28/2025,Expansions
FastSnap Intro Package - Biogen Idec -  Opp E6,Biogen Idec Opp E6 - INST,OppE6,0,FastSnap Intro Package,Cloud,300000,300000,100,"Frazier, Tom",18153,12/28/2025,Expansions
CloudLite Server Pro 9440 - Biogen Idec -  Opp E6,Biogen Idec Opp E6 - SP 5.5,OppE6,9440,CloudLite Server Pro 9440,Storage,600000,600000,9440,"Frazier, Tom",18153,12/28/2025,Expansions
FastOffice Scanner D2200 - Comcast -  Opp E7,Comcast Opp E7 - SOLAR M,OppE7,2200,FastOffice Scanner D2200,Servers,61322.82867,61322.82867,2200,"Frazier, Tom",34932,10/13/2025,Expansions
CloudLite Server Pro 8200 - Comcast -  Opp E7,Comcast Opp E7 - SP Att,OppE7,8200,CloudLite Server Pro 8200,Storage,25000,25000,8200,"Frazier, Tom",34932,10/13/2025,Expansions
LockDown Intro Package - Comcast -  Opp E7,Comcast Opp E7 - ADD,OppE7,0,LockDown Intro Package,Services,80000,80000,500,"Frazier, Tom",34932,10/13/2025,Expansions
LockDown Individual - Comcast -  Opp E8,Comcast Opp E8 - UPG,OppE8,0,LockDown Individual,Services,106000,106000,663,"Frazier, Tom",34932,4/30/2025,New Business
SlimLite Tablet 9 - Comcast -  Opp E9,Comcast Opp E9 - HP Att,OppE9,9,SlimLite Tablet 9,Networking,106278.3058,106278.3058,9,"Frazier, Tom",34932,9/25/2010,New Business
FastOffice Scanner D2400 - Comcast -  Opp E9,Comcast Opp E9 - SOLAR H,OppE9,2400,FastOffice Scanner D2400,Servers,46953.39701,46953.39701,2400,"Frazier, Tom",34932,9/25/2010,New Business
SlimLite Tablet 10 - Comcast -  Opp E9,Comcast Opp E9 - HP 2.5,OppE9,10,SlimLite Tablet 10,Networking,33768.29723,33768.29723,10,"Frazier, Tom",34932,9/25/2010,New Business
FastSnap Intro Package - Comcast -  Opp E10,Comcast Opp E10 - INST,OppE10,0,FastSnap Intro Package,Cloud,280000,280000,104,"Frazier, Tom",34932,6/13/2025,Expansions
SlimLite Tablet 10x - Comcast -  Opp E11,Comcast Opp E11 - HP 3.5,OppE11,10,SlimLite Tablet 10x,Networking,86000,86000,10,"Frazier, Tom",34932,9/25/2004,New Business
FastOffice Scanner D2200 - Liberty Mutual -  Opp E12,Liberty Mutual Opp E12 - SOLAR M,OppE12,2200,FastOffice Scanner D2200,Servers,83719.84705,83719.84705,2200,"Frazier, Tom",85201,4/16/2025,New Business
SlimLite Tablet 10 - Liberty Mutual -  Opp E12,Liberty Mutual Opp E12 - HP 2.5,OppE12,10,SlimLite Tablet 10,Networking,500000,500000,10,"Frazier, Tom",85201,4/16/2025,New Business
LockDown Individual - Liberty Mutual -  Opp E12,Liberty Mutual Opp E12 - UPG,OppE12,0,LockDown Individual,Services,200000,200000,1250,"Frazier, Tom",85201,4/16/2025,New Business
SlimLite Tablet 10x - Liberty Mutual -  Opp E13,Liberty Mutual Opp E13 - HP 3.5,OppE13,10,SlimLite Tablet 10x,Networking,163000,163000,10,"Frazier, Tom",85201,4/23/2025,Expansions
SlimLite Tablet 11 - Liberty Mutual -  Opp E14,Liberty Mutual Opp E14 - HP 4.5,OppE14,11,SlimLite Tablet 11,Networking,143000,143000,11,"Frazier, Tom",85201,4/29/2025,Expansions
CloudLite Server Pro 9100 - Liberty Mutual -  Opp E15,Liberty Mutual Opp E15 - SP 5.6,OppE15,9100,CloudLite Server Pro 9100,Storage,200000,200000,9100,"Frazier, Tom",85201,6/25/2005,New Business
SlimLite Tablet 10 - Liberty Mutual -  Opp E15,Liberty Mutual Opp E15 - HP 2.5,OppE15,10,SlimLite Tablet 10,Networking,78167.40201,78167.40201,10,"Frazier, Tom",85201,6/25/2005,New Business
SlimLite Tablet 9 - Liberty Mutual -  Opp E16,Liberty Mutual Opp E16 - HP Att,OppE16,9,SlimLite Tablet 9,Networking,90000,90000,9,"Frazier, Tom",85201,9/25/2004,New Business
SlimLite Tablet 11 - Liberty Mutual -  Opp E16,Liberty Mutual Opp E16 - HP 4.5,OppE16,11,SlimLite Tablet 11,Networking,89057.77323,89057.77323,11,"Frazier, Tom",85201,9/25/2004,New Business
CloudLite Server Pro 9440 - Liberty Mutual -  Opp E16,Liberty Mutual Opp E16 - SP 5.5,OppE16,9440,CloudLite Server Pro 9440,Storage,55000,55000,9440,"Frazier, Tom",85201,9/25/2004,New Business
FastSnap Individual - Liberty Mutual -  Opp E17,Liberty Mutual Opp E17 - MTC,OppE17,0,FastSnap Individual,Cloud,25487.92863,25487.92863,160,"Frazier, Tom",85201,2/25/2004,New Business
FastSnap Intro Package - Liberty Mutual -  Opp E17,Liberty Mutual Opp E17 - INST,OppE17,0,FastSnap Intro Package,Cloud,57355.09427,57355.09427,120,"Frazier, Tom",85201,2/25/2004,New Business
FastOffice Scanner D2400 - Liberty Mutual -  Opp E17,Liberty Mutual Opp E17 - SOLAR H,OppE17,2400,FastOffice Scanner D2400,Servers,39156.9771,39156.9771,2400,"Frazier, Tom",85201,2/25/2004,New Business
SlimLite Tablet 10 - Aetna -  Panel Roll Out,Aetna Panel Roll Out - HP 2.5,Opp858,10,SlimLite Tablet 10,Networking,343200,343200,10,"Johnson, Ron",31150,7/25/2007,New Business
CloudLite Server Pro 9440 - Aetna -  Panel Expand,Aetna Panel Expand - SP 5.5,Opp865,9440,CloudLite Server Pro 9440,Storage,150000,150000,9440,"Johnson, Ron",31150,8/25/2025,New Business
LockDown Intro Package - Aetna -  Panel Expand,Aetna Panel Expand - ADD,Opp865,0,LockDown Intro Package,Services,700000,700000,4375,"Johnson, Ron",31150,8/25/2025,New Business
FastOffice Scanner D2200 - Aetna -  Opp A059,Aetna Opp A059 - SOLAR M,Opp27,2200,FastOffice Scanner D2200,Servers,150443.4556,150443.4556,2200,"Johnson, Ron",31150,9/23/2025,Expansions
CloudLite Server Pro 9100 - Aetna -  Opp A059,Aetna Opp A059 - SP 5.6,Opp27,9100,CloudLite Server Pro 9100,Storage,22776.09505,22776.09505,9100,"Johnson, Ron",31150,9/23/2025,Expansions
LockDown Individual - Aetna -  Opp A059,Aetna Opp A059 - UPG,Opp27,0,LockDown Individual,Services,6780.449306,6780.449306,42,"Johnson, Ron",31150,9/23/2025,Expansions
SlimLite Tablet 11 - Aetna -  Opp B05,Aetna Opp B05 - HP 4.5,Opp28,11,SlimLite Tablet 11,Networking,400000,400000,11,"Johnson, Ron",31150,9/23/2025,New Business
FastOffice Scanner D2200 - Aetna -  Opp B05,Aetna Opp B05 - SOLAR M,Opp28,2200,FastOffice Scanner D2200,Servers,64993.95738,64993.95738,2200,"Johnson, Ron",31150,9/23/2025,New Business
FastSnap Intro Package - Aetna -  Opp B05,Aetna Opp B05 - INST,Opp28,0,FastSnap Intro Package,Cloud,32666.08145,32666.08145,130,"Johnson, Ron",31150,9/23/2025,New Business
CloudLite Server Pro 8200 - Aetna -  Opp C034,Aetna Opp C034 - SP Att,Opp29,8200,CloudLite Server Pro 8200,Storage,75000,75000,8200,"Johnson, Ron",31150,8/28/2025,Expansions
FastSnap Individual - Aetna -  Opp D048,Aetna Opp D048 - MTC,Opp30,0,FastSnap Individual,Cloud,181767.5623,181767.5623,150,"Johnson, Ron",31150,8/22/2025,New Business
FastSnap Intro Package - Aetna -  Opp D048,Aetna Opp D048 - INST,Opp30,0,FastSnap Intro Package,Cloud,107507.9513,107507.9513,120,"Johnson, Ron",31150,8/22/2025,New Business
FastOffice Scanner D2400 - Aetna -  Opp D048,Aetna Opp D048 - SOLAR H,Opp30,2400,FastOffice Scanner D2400,Servers,70724.48638,70724.48638,2400,"Johnson, Ron",31150,8/22/2025,New Business
FastSnap Individual - General Electric -,GE Renewal - MTC,Opp866,0,FastSnap Individual,Cloud,346400,346400,140,"Johnson, Ron",60856,6/25/2002,Expansions
CloudLite Server Pro 9100 - General Electric - t Phase 2,GE Panel Roll Out Phase 2 - SP 5.6,Opp867,9100,CloudLite Server Pro 9100,Storage,346800,346800,9100,"Johnson, Ron",60856,1/25/2007,New Business
FastOffice Scanner D2200 - Sunoco - Opp A038,Sunco Opp A038 - SOLAR M,Opp1117,2200,FastOffice Scanner D2200,Servers,94854.6193,94854.6193,2200,"Johnson, Ron",13644,6/25/2002,New Business
FastOffice Scanner D2400 - Sunoco - Opp A038,Sunco Opp A038 - SOLAR H,Opp1117,2400,FastOffice Scanner D2400,Servers,17602.46065,17602.46065,2400,"Johnson, Ron",13644,6/25/2002,New Business
SlimLite Tablet 10x - Sunoco - Opp A038,Sunco Opp A038 - HP 3.5,Opp1117,10,SlimLite Tablet 10x,Networking,267542.9201,267542.9201,10,"Johnson, Ron",13644,6/25/2002,New Business
FastOffice Scanner D2200 - Sunoco - Opp A055,Sunco Opp A055 - SOLAR M,Opp1118,2200,FastOffice Scanner D2200,Servers,55000,55000,2200,"Johnson, Ron",13644,8/29/2025,New Business
SlimLite Tablet 10x - Staples -  Opp A076,Staples Opp A076 - HP 3.5,Opp1119,10,SlimLite Tablet 10x,Networking,1875000,1875000,10,"Johnson, Ron",13191,8/29/2025,Expansions
SlimLite Tablet 11 - Staples -  Opp A089,Staples Opp A089 - HP 4.5,Opp1120,11,SlimLite Tablet 11,Networking,220000,220000,11,"Johnson, Ron",13191,1/29/2025,Expansions
SlimLite Tablet 11 - Staples -  Opp A099,Staples Opp A099 - HP 4.5,Opp1121,11,SlimLite Tablet 11,Networking,125000,125000,11,"Johnson, Ron",13191,9/28/2025,New Business
FastOffice Scanner D2400 - Aetna -  Opp D1205,Aetna Opp D1205 - SOLAR H,OppD1205,2400,FastOffice Scanner D2400,Servers,800000,800000,2400,"Johnson, Ron",31150,11/25/2025,New Business
CloudLite Server Pro 9100 - General Electric -  Opp D1206,General Electric Opp D1206 - SP 5.6,OppD1206,9100,CloudLite Server Pro 9100,Storage,69289.86475,69289.86475,9100,"Johnson, Ron",60856,6/25/2005,Expansions
FastOffice Scanner D2400 - General Electric -  Opp D1206,General Electric Opp D1206 - SOLAR H,OppD1206,2400,FastOffice Scanner D2400,Servers,202848.4339,202848.4339,2400,"Johnson, Ron",60856,6/25/2005,Expansions
SlimLite Tablet 10 - General Electric -  Opp D1206,General Electric Opp D1206 - HP 2.5,OppD1206,10,SlimLite Tablet 10,Networking,9861.70136,9861.70136,10,"Johnson, Ron",60856,6/25/2005,Expansions
CloudLite Server Pro 8200 - General Electric -  Opp D1207,General Electric Opp D1207 - SP Att,OppD1207,8200,CloudLite Server Pro 8200,Storage,301000,301000,8200,"Johnson, Ron",60856,1/25/2004,New Business
SlimLite Tablet 11 - Sunoco -  Opp D1208,Sunoco Opp D1208 - HP 4.5,OppD1208,11,SlimLite Tablet 11,Networking,900000,900000,11,"Johnson, Ron",13644,6/25/2005,New Business
SlimLite Tablet 9 - Sunoco -  Opp D1208,Sunoco Opp D1208 - HP Att,OppD1208,9,SlimLite Tablet 9,Networking,500000,500000,9,"Johnson, Ron",13644,6/25/2005,New Business
CloudLite Server Pro 9440 - Sunoco -  Opp D1208,Sunoco Opp D1208 - SP 5.5,OppD1208,9440,CloudLite Server Pro 9440,Storage,600000,600000,9440,"Johnson, Ron",13644,6/25/2005,New Business
SlimLite Tablet 10x - Staples -  Opp D1209,Staples Opp D1209 - HP 3.5,OppD1209,10,SlimLite Tablet 10x,Networking,542000,542000,10,"Johnson, Ron",13191,6/13/2025,Expansions
SlimLite Tablet 10x - Aetna -  Opp E18,Aetna Opp E18 - HP 3.5,OppE18,10,SlimLite Tablet 10x,Networking,192302.3986,192302.3986,10,"Johnson, Ron",31150,7/25/2004,New Business
LockDown Intro Package - Aetna -  Opp E18,Aetna Opp E18 - ADD,OppE18,0,LockDown Intro Package,Services,190681.6213,190681.6213,1192,"Johnson, Ron",31150,7/25/2004,New Business
FastSnap Individual - Aetna -  Opp E18,Aetna Opp E18 - MTC,OppE18,0,FastSnap Individual,Cloud,100000,100000,150,"Johnson, Ron",31150,7/25/2004,New Business
SlimLite Tablet 10x - Aetna -  Opp E19,Aetna Opp E19 - HP 3.5,OppE19,10,SlimLite Tablet 10x,Networking,171000,171000,10,"Johnson, Ron",31150,6/23/2025,Expansions
FastSnap Individual - Aetna -  Opp E20,Aetna Opp E20 - MTC,OppE20,0,FastSnap Individual,Cloud,106000,106000,110,"Johnson, Ron",31150,6/23/2025,New Business
SlimLite Tablet 9 - Aetna -  Opp E21,Aetna Opp E21 - HP Att,OppE21,9,SlimLite Tablet 9,Networking,800000,800000,9,"Johnson, Ron",31150,11/28/2025,Expansions
SlimLite Tablet 10x - Aetna -  Opp E21,Aetna Opp E21 - HP 3.5,OppE21,10,SlimLite Tablet 10x,Networking,900000,900000,10,"Johnson, Ron",31150,11/28/2025,Expansions
LockDown Intro Package - Aetna -  Opp E21,Aetna Opp E21 - ADD,OppE21,0,LockDown Intro Package,Services,20000,20000,125,"Johnson, Ron",31150,11/28/2025,Expansions
FastOffice Scanner D2400 - Aetna -  Opp E22,Aetna Opp E22 - SOLAR H,OppE22,2400,FastOffice Scanner D2400,Servers,16872.36594,16872.36594,2400,"Johnson, Ron",31150,11/22/2025,New Business
SlimLite Tablet 9 - Aetna -  Opp E22,Aetna Opp E22 - HP Att,OppE22,9,SlimLite Tablet 9,Networking,24469.54297,24469.54297,9,"Johnson, Ron",31150,11/22/2025,New Business
SlimLite Tablet 11 - Aetna -  Opp E22,Aetna Opp E22 - HP 4.5,OppE22,11,SlimLite Tablet 11,Networking,62658.09109,62658.09109,11,"Johnson, Ron",31150,11/22/2025,New Business
LockDown Intro Package - Sunoco -  Opp E23,Sunoco Opp E23 - ADD,OppE23,0,LockDown Intro Package,Services,62000,62000,388,"Johnson, Ron",13644,11/28/2025,New Business
FastOffice Scanner D2400 - Staples -  Opp E24,Staples Opp E24 - SOLAR H,OppE24,2400,FastOffice Scanner D2400,Servers,191000,191000,2400,"Johnson, Ron",13191,9/25/2010,Expansions
SlimLite Tablet 9 - Staples -  Opp E25,Staples Opp E25 - HP Att,OppE25,9,SlimLite Tablet 9,Networking,800000,800000,9,"Johnson, Ron",13191,6/28/2025,New Business
LockDown Intro Package - Staples -  Opp E25,Staples Opp E25 - ADD,OppE25,0,LockDown Intro Package,Services,900000,900000,5625,"Johnson, Ron",13191,6/28/2025,New Business
FastSnap Intro Package - Terex -  Panel Roll Out,Terex Panel Roll Out - INST,Opp868,0,FastSnap Intro Package,Cloud,1041600,1041600,120,"Gilmore, Tim",202,6/25/2003,Expansions
LockDown Intro Package - Terex -  Opp 324,Terex Renewal - ADD,Opp869,0,LockDown Intro Package,Services,347600,347600,2173,"Gilmore, Tim",202,9/13/2025,New Business
FastOffice Scanner D2400 - Cigna -  Opp A040,Cigna Opp A040 - SOLAR H,Opp138,2400,FastOffice Scanner D2400,Servers,600000,600000,2400,"Gilmore, Tim",30284,8/28/2025,Expansions
CloudLite Server Pro 9440 - Cigna -  Opp B028,Cigna Opp B028 - SP 5.5,Opp139,9440,CloudLite Server Pro 9440,Storage,800000,800000,9440,"Gilmore, Tim",30284,9/28/2025,New Business
LockDown Intro Package - Cigna -  Opp C069,Cigna Opp C069 - ADD,Opp140,0,LockDown Intro Package,Services,325000,325000,2031,"Gilmore, Tim",30284,9/25/2001,Expansions
SlimLite Tablet 11 - Textron -  Opp A033,Textron Opp A033 - HP 4.5,Opp1129,11,SlimLite Tablet 11,Networking,57803.25789,57803.25789,11,"Gilmore, Tim",14020,1/16/2025,New Business
CloudLite Server Pro 9440 - Textron -  Opp A033,Textron Opp A033 - SP 5.5,Opp1129,9440,CloudLite Server Pro 9440,Storage,29394.60457,29394.60457,9440,"Gilmore, Tim",14020,1/16/2025,New Business
FastOffice Scanner D2400 - Textron -  Opp A033,Textron Opp A033 - SOLAR H,Opp1129,2400,FastOffice Scanner D2400,Servers,62802.13754,62802.13754,2400,"Gilmore, Tim",14020,1/16/2025,New Business
CloudLite Server Pro 8200 - Textron -  Opp A085,Textron Opp A085 - SP Att,Opp1130,8200,CloudLite Server Pro 8200,Storage,165000,165000,8200,"Gilmore, Tim",14020,11/28/2025,Expansions
FastSnap Intro Package - Textron -  Opp A021,Textron Opp A021 - INST,Opp1131,0,FastSnap Intro Package,Cloud,600000,600000,140,"Gilmore, Tim",14020,8/28/2025,New Business
